SPATIAL,INC_TOTAL,INC_A,INC_B,INC_C,INC_D,INC_E,INC_F,INC_G,INC_H,INC_I,INC_J
06484,15803,584.7110000000001,347.66600000000005,884.968,1185.225,1422.27,2433.662,2196.617,3413.4480000000003,1785.739,1548.694
06488,7782,334.626,147.858,692.5980000000001,482.484,677.034,1198.4279999999999,1097.262,1237.338,856.02,1066.1339999999998
06489,12703,317.57500000000005,342.98100000000005,952.7249999999999,762.18,990.834,2045.183,1727.6080000000002,2781.9569999999994,1562.469,1232.1909999999998
06492,17911,465.68600000000004,429.86400000000003,1074.6599999999999,1217.948,2292.608,3313.535,2471.7180000000003,3779.2210000000005,1719.4560000000001,1128.393
06498,2847,62.63400000000001,96.798,256.23,273.312,224.913,330.25199999999995,210.67800000000003,666.198,307.47600000000006,421.35600000000005
06510,1538,215.32000000000002,107.66000000000001,153.8,126.11599999999999,144.572,187.636,204.554,203.01600000000002,76.9,116.88799999999999
06511,20971,2600.404,1803.5059999999999,2810.114,2516.52,2705.259,3103.7080000000005,1824.4769999999999,1698.651,901.7529999999999,1006.6080000000001
06512,11754,540.684,564.192,1269.4320000000002,905.058,1610.2979999999998,2139.228,1669.0679999999998,1821.87,705.24,517.176
06513,14771,2082.711,1344.161,1757.749,1757.749,2230.421,2481.5280000000002,1358.932,1019.1990000000001,457.901,295.42
06514,10110,424.62,283.08,1011.0,606.6,1203.0900000000001,1910.7899999999997,1395.18,1880.4600000000003,899.7900000000001,495.39000000000004
06515,6735,660.03,282.87,700.44,727.3800000000001,902.49,1091.07,653.295,915.96,431.04,370.425
06516,19961,1457.153,1197.6599999999999,2095.9049999999997,2155.7880000000005,2894.345,3433.292,2175.749,2994.15,1018.011,538.9470000000001
06517,6366,235.54200000000003,394.692,496.548,432.88800000000003,534.744,993.096,878.508,1133.1480000000001,611.136,655.6980000000001
06518,6854,281.01399999999995,260.452,514.05,370.11600000000004,692.2539999999999,1507.88,678.546,1220.0120000000002,685.4000000000001,637.4220000000001
06519,5431,1205.682,700.599,836.374,537.669,727.754,570.255,401.89400000000006,325.86,81.465,43.448
06524,1999,29.985,15.992,87.956,115.942,119.94,221.889,335.832,415.79200000000003,343.828,315.842
06525,2934,76.284,23.472,173.10600000000002,190.71,193.644,170.172,187.776,536.922,460.638,918.342
